date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_pvax,deaths_fvax,deaths_tat
2021-09-22,487,161,144,31,35,35,9
2021-09-23,116,29,148,38,25,32,4
2021-09-24,250,49,146,34,25,49,3
2021-09-25,228,36,158,29,28,45,3
2021-09-26,278,99,125,30,28,31,5
2021-09-27,258,75,129,17,19,43,11
2021-09-28,240,71,105,21,20,35,4
2021-09-29,208,64,121,26,15,51,4
2021-09-30,192,47,129,29,18,38,3
2021-10-01,121,28,92,10,14,31,2
2021-10-02,109,33,128,29,11,50,2
2021-10-03,118,27,100,22,12,43,3
2021-10-04,76,15,88,15,10,37,2
2021-10-05,117,16,95,22,12,44,3
2021-10-06,105,26,88,19,9,31,3
2021-10-07,132,26,91,18,13,31,3
2021-10-08,78,23,86,15,9,41,3
2021-10-09,74,27,69,13,3,30,3
2021-10-10,64,14,81,18,3,40,2
2021-10-11,93,16,78,16,8,40,4
2021-10-12,103,26,86,16,8,38,3
2021-10-13,68,12,71,11,8,28,2
2021-10-14,88,22,57,9,10,21,3
2021-10-15,89,19,63,11,4,34,3
2021-10-16,88,26,65,9,4,34,3
2021-10-17,63,11,60,4,5,27,4
2021-10-18,72,9,57,13,5,28,3
2021-10-19,69,11,60,11,3,27,3
2021-10-20,76,14,28,3,4,13,3
2021-10-21,96,21,6,0,0,2,3
2021-10-22,78,17,0,0,0,0,3
